cijena,stanje,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
68000,0,30,2,0,0,2
75000,1,42,2,0,2,2
79800,1,42,2,0,2,2
86000,0,40,2,0,1,2
93000,0,62,2,0,2,2
108000,0,58,2,0,2,2
109200,0,56,2,0,2,2
110000,0,52,2,0,2,2
111163,1,65,2,0,3,2
120000,0,54,2,0,2,2
120000,0,56,2,0,2,2
124000,0,57,2,0,2,2
125000,0,54,2,0,2,2
125000,0,54,2,0,2,2
125000,0,54,2,0,2,2
135000,0,51,2,0,2,2
144200,0,86,2,0,4,2
156000,0,74,2,0,3,2
156000,0,74,2,0,3,2
156000,0,74,2,0,3,2
178670,1,66,2,0,2,2
185000,0,116,2,0,5,2
230000,0,85,2,0,3,2
255000,0,85,2,0,3,2
280000,0,94,2,0,4,2
285000,0,96,2,0,4,2
77400,1,43,2,0,2,3
79000,0,98,2,0,3,3
120600,1,67,2,0,3,3
124990,0,53,2,0,2,3
130000,0,66,2,0,2,3
138000,0,55,2,0,2,3
140000,0,67,2,0,3,3
145000,0,86,2,0,4,3
151500,0,86,2,0,4,3
163800,1,78,2,0,3,3
184000,1,80,2,0,3,3
294300,1,109,2,0,4,3
454000,1,126,2,0,4,3
39500,0,17,2,0,0,4
92000,1,63,2,0,3,4
145000,0,54,2,0,3,4
230000,0,89,2,0,2,4
239000,0,95,2,0,3,4
249600,0,96,2,0,3,4
283000,1,69,2,0,2,4
363000,0,121,2,0,4,4
379000,0,95,2,0,3,4
475000,1,132,2,0,4,4
78000,0,120,2,0,3,5
85000,0,53,2,0,2,5
92000,0,67,2,0,3,5
95000,0,57,2,0,2,5
135000,0,74,2,0,3,5
320000,0,361,2,0,2,5
65000,1,35,3,0,1,1
75000,1,50,3,0,2,1
77999,1,50,3,0,2,1
80000,0,79,3,0,2,1
80000,0,47,3,0,1,1
92000,0,48,3,0,2,1
93500,0,36,3,0,1,1
94500,0,53,3,0,3,1
100000,0,70,3,0,3,1
100000,0,62,3,0,2,1
105000,0,62,3,0,2,1
107000,0,56,3,0,3,1
109391,0,50,3,0,2,1
110000,0,52,3,0,2,1
110000,0,60,3,0,2,1
110000,0,62,3,0,2,1
115000,1,71,3,0,2,1
122100,0,66,3,0,2,1
124051,0,56,3,0,2,1
125000,0,56,3,0,2,1
125000,1,90,3,0,2,1
126000,0,83,3,0,3,1
126000,0,83,3,0,3,1
129500,0,60,3,0,3,1
131000,0,60,3,0,3,1
149642,1,62,3,0,2,1
155000,0,55,3,0,2,1
155000,0,55,3,0,2,1
155000,0,55,3,0,2,1
155000,0,55,3,0,2,1
158600,0,122,3,0,5,1
165000,0,100,3,0,5,1
165000,0,60,3,0,2,1
168000,0,56,3,0,3,1
170000,1,78,3,0,3,1
171000,0,57,3,0,2,1
174300,1,83,3,0,3,1
175000,1,144,3,0,3,1
179555,0,85,3,0,3,1
180000,0,76,3,0,3,1
