cijena,stanje,lokacija,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
299000,1,Opcina Centar,136,2,0,4,1
299000,0,Opcina Centar,96,2,0,2,1
307000,0,Opcina Centar,80,2,0,3,1
324900,0,Stari Grad,125,2,0,4,1
332500,0,Opcina Centar,90,2,0,3,1
335000,0,Stari Grad,125,2,0,4,1
335000,0,Stari Grad,125,2,0,4,1
345000,0,Stari Grad,125,2,0,5,1
370000,1,Opcina Centar,101,2,0,4,1
370000,0,Opcina Centar,114,2,0,4,1
380000,1,Opcina Centar,150,2,0,5,1
399000,0,Opcina Centar,114,2,0,3,1
425000,0,Opcina Centar,107,2,0,4,1
470000,0,Opcina Centar,144,2,0,5,1
585000,0,Stari Grad,101,2,0,3,1
850000,0,Novo Sarajevo,700,2,0,5,1
34999,1,Vogosca,18,2,0,0,2
68000,0,Novi Grad,30,2,0,0,2
68000,0,Novi Grad,30,2,0,0,2
75000,1,Ilidza,42,2,0,2,2
79800,1,Ilidza,42,2,0,2,2
86000,0,Novi Grad,40,2,0,1,2
93000,0,Novi Grad,62,2,0,2,2
108000,0,Opcina Centar,58,2,0,2,2
109200,0,Novi Grad,56,2,0,2,2
110000,0,Novi Grad,52,2,0,2,2
111163,1,Vogosca,65,2,0,3,2
120000,0,Novo Sarajevo,54,2,0,2,2
120000,0,Ilidza,56,2,0,2,2
124000,0,Novo Sarajevo,57,2,0,2,2
125000,0,Novi Grad,54,2,0,2,2
125000,0,Novi Grad,54,2,0,2,2
125000,0,Novi Grad,54,2,0,2,2
135000,0,Novo Sarajevo,51,2,0,2,2
144200,0,Novi Grad,86,2,0,4,2
156000,0,Ilidza,74,2,0,3,2
156000,0,Ilidza,74,2,0,3,2
156000,0,Ilidza,74,2,0,3,2
178670,1,Ilidza,66,2,0,2,2
185000,0,Novi Grad,116,2,0,5,2
230000,0,Novo Sarajevo,85,2,0,3,2
255000,0,Opcina Centar,85,2,0,3,2
280000,0,Novo Sarajevo,94,2,0,4,2
285000,0,Opcina Centar,96,2,0,4,2
77400,1,Vogosca,43,2,0,2,3
79000,0,Ilidza,98,2,0,3,3
120600,1,Vogosca,67,2,0,3,3
124990,0,Ilidza,53,2,0,2,3
130000,0,Ilidza,66,2,0,2,3
138000,0,Ilidza,55,2,0,2,3
140000,0,Novi Grad,67,2,0,3,3
145000,0,Novi Grad,86,2,0,4,3
151500,0,Novi Grad,86,2,0,4,3
163800,1,Ilidza,78,2,0,3,3
184000,1,Novi Grad,80,2,0,3,3
294300,1,Opcina Centar,109,2,0,4,3
454000,1,Ilidza,126,2,0,4,3
39500,0,Novo Sarajevo,17,2,0,0,4
92000,1,Ilidza,63,2,0,3,4
145000,0,Opcina Centar,54,2,0,3,4
230000,0,Opcina Centar,89,2,0,2,4
239000,0,Opcina Centar,95,2,0,3,4
249600,0,Opcina Centar,96,2,0,3,4
283000,1,Opcina Centar,69,2,0,2,4
363000,0,Opcina Centar,121,2,0,4,4
379000,0,Opcina Centar,95,2,0,3,4
475000,1,Ilidza,132,2,0,4,4
78000,0,Hadzici,120,2,0,3,5
85000,0,Ilidza,53,2,0,2,5
92000,0,Ilidza,67,2,0,3,5
95000,0,Novi Grad,57,2,0,2,5
135000,0,Novi Grad,74,2,0,3,5
320000,0,Novo Sarajevo,361,2,0,2,5
65000,1,Vogosca,35,3,0,1,1
75000,1,Ilidza,50,3,0,2,1
77999,1,Vogosca,50,3,0,2,1
80000,0,Novi Grad,79,3,0,2,1
80000,0,Vogosca,47,3,0,1,1
92000,0,Novi Grad,48,3,0,2,1
93500,0,Novo Sarajevo,36,3,0,1,1
94500,0,Novi Grad,53,3,0,3,1
